LULC_Class,Flooded_Area_km2
10,0.1843605504162358
20,0.0
30,0.24418752166748048
40,0.7940865804431388
50,0.04528573138427734
60,0.042622085693359374
70,0.0
80,5.9253938696188575
90,0.5145692256883808
95,0.24285557799168006
